,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,num_round,nthread,silent,objective,seed,validate_parameters,instance,error,running time,timeed out?,crashed?
84,0.6,0.0,10,1.0,5.0,0.4555,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,23869,1,i2,0.03482434835822612,837.7372543811798,False,False
85,0.6,0.0,10,1.0,5.0,0.406,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,80105,1,i1,0.03675514419031589,845.9304690361023,False,False
86,0.6,0.0,10,1.0,5.0,0.802,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,20697,1,i3,0.027040982195788987,846.5918962955475,False,False
87,0.6,0.0,10,1.0,5.0,0.4555,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,54547,1,i4,0.03446099711231376,847.3986511230469,False,False
88,0.6,0.0,10,1.0,5.0,0.406,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,99476,1,i4,0.037979767072727655,852.2889289855957,False,False
89,0.6,0.0,10,1.0,5.0,0.35650000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,58943,1,i1,0.03926030750401588,852.7424037456512,False,False
90,0.6,0.0,10,1.0,5.0,0.5545,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,40947,1,i4,0.031630682144154876,855.0258469581604,False,False
91,0.6,0.0,10,1.0,5.0,0.5545,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,16775,1,i2,0.032816354630816,857.2977278232574,False,False
92,0.6,0.0,10,1.0,5.0,0.505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,23115,1,i3,0.03310321087758883,860.909880399704,False,False
93,0.6,0.0,10,1.0,5.0,0.4555,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,26314,1,i5,0.03528331835306264,862.4508578777313,False,False
94,0.6,0.0,10,1.0,5.0,0.6040000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,63934,1,i4,0.03090397965233027,864.1126866340637,False,False
95,0.6,0.0,10,1.0,5.0,0.406,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,74652,1,i5,0.03841961331777932,868.0541274547577,False,False
96,0.6,0.0,10,1.0,5.0,0.6040000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,33885,1,i2,0.030846608402975706,869.6312613487244,False,False
97,0.6,0.0,10,1.0,5.0,0.6040000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,83123,1,i3,0.02989042091373273,879.0214128494263,False,False
98,0.6,0.0,10,1.0,5.0,0.505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,67720,1,i2,0.03279723088103115,880.587176322937,False,False
99,0.6,0.0,10,1.0,5.0,0.5545,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,29985,1,i5,0.03268248838232202,883.720885515213,False,False
100,0.6,0.0,10,1.0,5.0,0.505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,37910,1,i4,0.0347478533590867,889.3688385486603,False,False
101,0.6,0.0,10,1.0,5.0,0.505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,48604,1,i1,0.033446798745506046,894.3071188926697,False,False
102,0.6,0.0,10,1.0,5.0,0.4555,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,32345,1,i3,0.034690482109732024,895.4714069366455,False,False
103,0.6,0.0,10,1.0,5.0,0.6040000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,79897,1,i1,0.03128585634513881,899.8223080635071,False,False
104,0.6,0.0,10,1.0,5.0,0.5545,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,55497,1,i3,0.03210877588877625,906.480548620224,False,False
